,open,high,low,close,volume
2130,149.9700,150.6100,146.1800,146.5900,9081182
2131,153.4500,155.4800,152.6000,155.3500,3967419
2132,153.7500,154.7100,152.2700,152.9200,2833364
2133,154.1600,154.5689,153.6900,154.0500,2760344
2134,152.6000,154.6700,152.5200,153.6100,3572102
2135,150.9600,152.7200,150.6044,151.9900,4663870
2136,150.1900,151.2950,149.0000,151.0600,2449064
2137,151.4600,151.7925,150.6000,150.6800,2260406
2138,151.2800,151.7900,150.4000,151.0600,2865833
2139,151.6300,152.5000,150.2800,151.2800,3610407
2140,152.7900,153.3299,151.8600,152.3700,3120563
2141,152.9200,153.7600,152.7300,153.4200,2021796
2142,153.5300,154.0900,153.0400,154.0000,2935036
2143,153.3100,153.9300,152.6600,153.3300,4464985
2144,153.0900,153.9500,152.3400,152.7300,2378462
2145,152.4000,153.0400,151.7000,152.8900,2328056
2146,152.5900,153.5000,152.1200,153.5000,2642601
2147,153.0000,153.2700,151.5400,152.5100,2662937
2148,152.5600,153.8100,152.2700,153.7400,5836645
2149,152.3500,152.9300,152.1500,152.8400,2457037
2150,151.5500,152.5100,151.0500,152.4400,3062934
2151,148.9300,152.0900,148.5001,151.6900,4358039
2152,146.8800,148.7500,146.8800,148.3100,2929132
2153,147.6100,147.9500,146.6600,146.7700,2103733
2154,145.7100,147.5100,145.5500,147.2500,3670262
2155,146.4800,146.9300,143.9550,144.9300,3685595
2156,147.9900,148.5200,146.3600,147.3400,2491086
2157,149.2100,149.5000,147.2900,148.0000,3490374
2158,147.6500,149.9900,147.4400,149.4600,3069126
2159,148.7900,149.8600,147.4200,147.7200,2397902
2160,149.2100,149.3900,147.1100,148.8400,3249032
2161,149.7100,151.0900,148.7400,148.9500,3092408
2162,148.2400,150.0400,147.7400,149.9700,3992536
2163,147.7000,148.2000,147.0100,147.3400,4302425
2164,144.8600,147.9700,144.4700,147.2900,4895684
2165,145.9500,147.3000,145.4500,146.4700,6500738
2166,143.3600,145.0000,143.3100,144.2500,2576786
2167,144.6500,144.9000,142.9000,144.1300,3584261
2168,146.5600,147.0000,144.4300,145.2700,3502443
2169,146.4900,147.3400,144.1910,145.9400,4225790
2170,149.7500,150.1800,146.7250,147.0700,3791337
2171,149.3500,150.7800,148.9700,150.4700,3110789
2172,148.6500,149.7900,147.9000,149.0800,2979699
2173,148.1600,148.9000,147.1100,148.8100,2848935
2174,149.4400,151.0000,147.5000,148.5000,5191802
2175,146.5800,150.1200,146.4600,149.3000,6015526
2176,144.2400,147.2000,144.0000,146.1100,6754189
2177,146.4700,146.9500,142.6100,144.0000,13188308
2178,151.7500,153.1400,151.4900,152.5300,6538819
2179,151.0400,152.1000,150.9600,151.7200,3657466
2180,151.5000,152.7600,150.3800,151.1600,3176300
2181,150.7500,151.2300,149.6300,151.2300,3167970
2182,149.6100,150.1100,148.5800,149.6300,3595549
2183,150.2600,151.9500,149.2200,149.2500,3845918
2184,149.0600,149.9900,148.1200,149.3500,3293512
2185,149.0700,149.6000,148.0000,148.2500,3662508
2186,149.9000,150.1500,147.8100,150.0200,4194265
2187,151.4300,151.6000,149.6500,150.0000,3336952
2188,152.3400,153.5200,151.9100,152.0700,3930319
2189,150.5100,152.9600,150.2500,152.5200,3925181
2190,149.7900,153.1000,149.3600,151.4500,6780132
2191,149.9500,150.4100,148.3200,148.4100,3330841
2192,147.5900,149.7600,147.5000,149.3300,3138545
2193,147.7500,148.6500,147.2300,148.4000,3265084
2194,144.9800,148.2200,144.4900,147.9500,5044335
2195,148.0000,148.0300,145.1300,145.4000,4763987
2196,148.0600,149.2800,147.8400,148.1000,4081924
2197,147.3000,148.7100,146.7201,148.6300,3721463
2198,147.4000,147.5100,145.5100,147.0900,12088126
2199,144.7800,147.3200,144.4500,147.0400,5821180
2200,142.6200,144.8800,142.1100,144.7900,4221939
2201,141.7400,143.3300,141.5400,142.9600,3707538
2202,142.0100,143.1900,141.0400,142.7800,4047634
2203,141.7300,142.9236,140.5100,142.3600,4421748
2204,141.2400,141.4700,138.0900,140.1900,4020024
2205,139.3100,142.1700,139.2300,140.4100,4406304
2206,139.7100,140.3500,137.4200,139.0700,5537856
2207,137.2800,140.5100,136.8718,140.1500,5170228
2208,137.5350,139.4200,137.0200,137.8000,3968423
2209,137.2200,137.9602,136.0700,137.8000,5155978
2210,133.7000,137.4400,133.2200,136.3000,5217230
2211,132.2400,134.6400,132.0300,134.3700,3788084
2212,132.0000,133.3600,130.9000,131.0300,4427472
2213,134.5100,134.9200,131.9500,132.0300,4385699
2214,133.2900,134.5100,130.8800,134.5000,4358205
2215,131.5500,133.4900,129.6800,132.8000,4122421
2216,133.1400,133.4100,132.0100,132.4000,3439631
2217,133.8400,134.3100,132.4100,133.7700,4457444
2218,132.3600,133.6500,130.8400,133.0800,5125276
2219,130.0000,134.0000,129.7500,132.4500,9951438
2220,123.7100,126.5700,123.2500,126.1000,4820982
2221,121.8300,123.0900,121.3400,122.7400,4061066
2222,119.2600,121.0500,118.3500,121.0400,4935670
2223,118.7800,119.6600,116.9010,117.8500,7307503
2224,125.0000,125.2900,119.8400,120.1900,6462375
2225,126.1200,126.9300,123.7700,124.0700,5956138
2226,126.0000,127.5100,124.1300,126.9800,7363893
2227,127.2200,128.6400,125.8500,128.5700,7176765
2228,125.0800,128.5000,125.0000,127.6500,5265650
2229,123.9900,125.4499,122.2900,124.7200,6223424
2230,123.6700,124.1400,122.6400,122.9400,3287218
2231,124.4000,125.2900,123.7100,124.8300,3574834
2232,123.2800,124.7900,122.9600,124.7900,8248077
2233,121.2600,122.8300,121.0100,122.2200,3942537
2234,122.7300,123.3700,120.6500,120.9600,5025161
2235,122.2500,123.6100,122.2400,122.5900,4617414
2236,122.1000,124.2300,121.6400,122.0800,5445560
2237,124.6700,124.7400,121.7700,122.5000,9238219
2238,121.3000,125.1000,120.5751,122.9100,8851531
2239,118.4600,123.9900,118.0000,121.8600,16157769
2240,130.1100,132.1000,128.0600,128.1100,9955973
2241,130.0100,130.8800,128.8700,130.0300,9007945
2242,131.9300,133.7900,131.2200,132.9100,5709426
2243,133.5000,134.2799,131.1000,131.1700,4700115
2244,133.6500,133.7800,131.1300,132.9000,5078360
2245,131.8100,133.8200,131.7600,133.2300,4974236
2246,133.1800,133.8160,131.3200,131.6300,4762583
2247,133.7000,135.0200,132.4300,132.8600,7024500
2248,134.3800,135.5800,133.6200,135.1700,4310774
2249,136.7600,136.8900,134.8501,135.8500,3924785
2250,135.6000,135.9700,134.2400,135.9500,5229231
2251,139.0700,139.1000,137.5700,137.6200,3462037
2252,139.5800,140.4400,139.2200,139.3400,2989367
2253,138.2500,140.0600,138.2000,139.7800,3943691
2254,137.7400,138.0450,136.5400,137.6100,3143412
2255,138.4300,138.8800,138.1100,138.2500,1495226
2256,138.3000,139.3050,138.1100,138.5400,5164909
2257,135.8800,138.1900,135.6500,137.9300,4263538
2258,135.8300,135.8300,134.0200,135.5000,5616636
2259,136.4100,136.9600,134.2700,134.9000,10008280
2260,139.3500,139.5000,136.3075,136.7500,4089539
2261,139.1200,139.6500,137.7900,139.2900,4345474
2262,137.4000,138.9700,137.2800,137.7900,4238546
2263,135.3100,136.1400,134.0200,135.9300,5141549
2264,135.2300,135.4400,133.9100,134.5700,5333567
2265,137.0300,137.8500,135.7201,136.7800,4221948
